n,seconds
1,0.0000043750
2,0.0000015000
3,0.0000024160
4,0.0000034580
5,0.0000053330
6,0.0000078750
7,0.0000139580
8,0.0000266660
9,0.0000535000
10,0.0001072500
11,0.0002155840
12,0.0004512920
13,0.0008937920
14,0.0018435420
15,0.0039651670
16,0.0076388750
17,0.0148396670
18,0.0298657920
19,0.0605647920
20,0.1204210840
21,0.2486779170
22,0.5103776250
